row.names,value,nme,method,time
1,0.000000e+00,fddi->fddi,obs,(02/22/99 00:02:43)
2,9.659259e+01,fddi->switch,obs,(02/22/99 00:02:43)
3,3.982519e+04,fddi->local,obs,(02/22/99 00:02:43)
4,2.828283e-01,fddi->corp,obs,(02/22/99 00:02:43)
5,4.373838e+02,switch->fddi,obs,(02/22/99 00:02:43)
6,4.764431e+03,switch->switch,obs,(02/22/99 00:02:43)
7,9.653357e+03,switch->local,obs,(02/22/99 00:02:43)
8,3.620840e+04,switch->corp,obs,(02/22/99 00:02:43)
9,3.283227e+04,local->fddi,obs,(02/22/99 00:02:43)
10,9.869966e+02,local->switch,obs,(02/22/99 00:02:43)
11,4.915825e+00,local->local,obs,(02/22/99 00:02:43)
12,1.137266e+03,local->corp,obs,(02/22/99 00:02:43)
13,5.656566e-01,corp->fddi,obs,(02/22/99 00:02:43)
14,5.068249e+03,corp->switch,obs,(02/22/99 00:02:43)
15,3.344781e+02,corp->local,obs,(02/22/99 00:02:43)
16,0.000000e+00,corp->corp,obs,(02/22/99 00:02:43)
17,3.992206e+04,src fddi,obs,(02/22/99 00:02:43)
18,5.106358e+04,src switch,obs,(02/22/99 00:02:43)
19,3.496145e+04,src local,obs,(02/22/99 00:02:43)
20,5.403293e+03,src corp,obs,(02/22/99 00:02:43)
21,3.327022e+04,dst fddi,obs,(02/22/99 00:02:43)
22,1.091627e+04,dst switch,obs,(02/22/99 00:02:43)
23,4.981794e+04,dst local,obs,(02/22/99 00:02:43)
24,3.734595e+04,dst corp,obs,(02/22/99 00:02:43)
25,1.313504e+05,total,obs,(02/22/99 00:02:43)
51,0.000000e+00,fddi->fddi,obs,(02/22/99 00:07:44)
52,7.197306e+01,fddi->switch,obs,(02/22/99 00:07:44)
53,4.124149e+04,fddi->local,obs,(02/22/99 00:07:44)
54,2.828283e-01,fddi->corp,obs,(02/22/99 00:07:44)
55,6.118519e+01,switch->fddi,obs,(02/22/99 00:07:44)
56,6.294522e+03,switch->switch,obs,(02/22/99 00:07:44)
57,2.677865e+04,switch->local,obs,(02/22/99 00:07:44)
58,3.231267e+04,switch->corp,obs,(02/22/99 00:07:44)
59,1.011843e+05,local->fddi,obs,(02/22/99 00:07:44)
60,1.138064e+03,local->switch,obs,(02/22/99 00:07:44)
61,1.116162e+01,local->local,obs,(02/22/99 00:07:44)
62,2.127818e+03,local->corp,obs,(02/22/99 00:07:44)
63,5.656566e-01,corp->fddi,obs,(02/22/99 00:07:44)
64,6.688734e+03,corp->switch,obs,(02/22/99 00:07:44)
65,5.810000e+02,corp->local,obs,(02/22/99 00:07:44)
66,0.000000e+00,corp->corp,obs,(02/22/99 00:07:44)
67,4.131374e+04,src fddi,obs,(02/22/99 00:07:44)
68,6.544702e+04,src switch,obs,(02/22/99 00:07:44)
69,1.044613e+05,src local,obs,(02/22/99 00:07:44)
70,7.270300e+03,src corp,obs,(02/22/99 00:07:44)
71,1.012460e+05,dst fddi,obs,(02/22/99 00:07:44)
72,1.419329e+04,dst switch,obs,(02/22/99 00:07:44)
73,6.861230e+04,dst local,obs,(02/22/99 00:07:44)
74,3.444077e+04,dst corp,obs,(02/22/99 00:07:44)
75,2.184924e+05,total,obs,(02/22/99 00:07:44)
101,0.000000e+00,fddi->fddi,obs,(02/22/99 00:12:44)
102,4.293603e+01,fddi->switch,obs,(02/22/99 00:12:44)
103,3.714897e+04,fddi->local,obs,(02/22/99 00:12:44)
104,2.828283e-01,fddi->corp,obs,(02/22/99 00:12:44)
105,2.878114e+01,switch->fddi,obs,(02/22/99 00:12:44)
106,2.392350e+03,switch->switch,obs,(02/22/99 00:12:44)
107,7.868808e+03,switch->local,obs,(02/22/99 00:12:44)
108,3.517745e+04,switch->corp,obs,(02/22/99 00:12:44)
109,7.841870e+05,local->fddi,obs,(02/22/99 00:12:44)
110,9.210774e+02,local->switch,obs,(02/22/99 00:12:44)
111,4.915825e+00,local->local,obs,(02/22/99 00:12:44)
112,1.568337e+03,local->corp,obs,(02/22/99 00:12:44)
113,5.656566e-01,corp->fddi,obs,(02/22/99 00:12:44)
114,4.061354e+03,corp->switch,obs,(02/22/99 00:12:44)
115,5.824377e+02,corp->local,obs,(02/22/99 00:12:44)
116,0.000000e+00,corp->corp,obs,(02/22/99 00:12:44)
117,3.719219e+04,src fddi,obs,(02/22/99 00:12:44)
118,4.546739e+04,src switch,obs,(02/22/99 00:12:44)
119,7.866814e+05,src local,obs,(02/22/99 00:12:44)
120,4.644357e+03,src corp,obs,(02/22/99 00:12:44)
121,7.842164e+05,dst fddi,obs,(02/22/99 00:12:44)
122,7.417717e+03,dst switch,obs,(02/22/99 00:12:44)
123,4.560513e+04,dst local,obs,(02/22/99 00:12:44)
124,3.674607e+04,dst corp,obs,(02/22/99 00:12:44)
125,8.739853e+05,total,obs,(02/22/99 00:12:44)
151,0.000000e+00,fddi->fddi,obs,(02/22/99 00:17:43)
152,1.149697e+02,fddi->switch,obs,(02/22/99 00:17:43)
153,3.874021e+04,fddi->local,obs,(02/22/99 00:17:43)
154,2.828283e-01,fddi->corp,obs,(02/22/99 00:17:43)
155,1.051077e+02,switch->fddi,obs,(02/22/99 00:17:43)
156,2.726650e+03,switch->switch,obs,(02/22/99 00:17:43)
157,1.114341e+04,switch->local,obs,(02/22/99 00:17:43)
158,3.374115e+04,switch->corp,obs,(02/22/99 00:17:43)
159,8.561794e+05,local->fddi,obs,(02/22/99 00:17:43)
160,9.207542e+02,local->switch,obs,(02/22/99 00:17:43)
161,4.915825e+00,local->local,obs,(02/22/99 00:17:43)
162,1.190700e+03,local->corp,obs,(02/22/99 00:17:43)
163,5.656566e-01,corp->fddi,obs,(02/22/99 00:17:43)
164,4.227003e+03,corp->switch,obs,(02/22/99 00:17:43)
165,6.944310e+02,corp->local,obs,(02/22/99 00:17:43)
166,0.000000e+00,corp->corp,obs,(02/22/99 00:17:43)
167,3.885546e+04,src fddi,obs,(02/22/99 00:17:43)
168,4.771632e+04,src switch,obs,(02/22/99 00:17:43)
169,8.582958e+05,src local,obs,(02/22/99 00:17:43)
170,4.922000e+03,src corp,obs,(02/22/99 00:17:43)
171,8.562851e+05,dst fddi,obs,(02/22/99 00:17:43)
172,7.989377e+03,dst switch,obs,(02/22/99 00:17:43)
173,5.058296e+04,dst local,obs,(02/22/99 00:17:43)
174,3.493214e+04,dst corp,obs,(02/22/99 00:17:43)
175,9.497896e+05,total,obs,(02/22/99 00:17:43)
201,0.000000e+00,fddi->fddi,obs,(02/22/99 00:22:43)
202,5.235017e+01,fddi->switch,obs,(02/22/99 00:22:43)
203,4.012527e+04,fddi->local,obs,(02/22/99 00:22:43)
204,2.828283e-01,fddi->corp,obs,(02/22/99 00:22:43)
205,3.943434e+01,switch->fddi,obs,(02/22/99 00:22:43)
206,2.484438e+03,switch->switch,obs,(02/22/99 00:22:43)
207,1.060402e+04,switch->local,obs,(02/22/99 00:22:43)
208,3.495211e+04,switch->corp,obs,(02/22/99 00:22:43)
209,8.282874e+05,local->fddi,obs,(02/22/99 00:22:43)
210,8.469024e+02,local->switch,obs,(02/22/99 00:22:43)
211,1.116162e+01,local->local,obs,(02/22/99 00:22:43)
212,1.259199e+03,local->corp,obs,(02/22/99 00:22:43)
213,5.656566e-01,corp->fddi,obs,(02/22/99 00:22:43)
214,4.501337e+03,corp->switch,obs,(02/22/99 00:22:43)
215,4.505286e+02,corp->local,obs,(02/22/99 00:22:43)
216,0.000000e+00,corp->corp,obs,(02/22/99 00:22:43)
217,4.017790e+04,src fddi,obs,(02/22/99 00:22:43)
218,4.808000e+04,src switch,obs,(02/22/99 00:22:43)
219,8.304047e+05,src local,obs,(02/22/99 00:22:43)
220,4.952431e+03,src corp,obs,(02/22/99 00:22:43)
221,8.283274e+05,dst fddi,obs,(02/22/99 00:22:43)
222,7.885027e+03,dst switch,obs,(02/22/99 00:22:43)
223,5.119098e+04,dst local,obs,(02/22/99 00:22:43)
224,3.621159e+04,dst corp,obs,(02/22/99 00:22:43)
225,9.236150e+05,total,obs,(02/22/99 00:22:43)
251,0.000000e+00,fddi->fddi,obs,(02/22/99 00:27:44)
252,7.947475e+01,fddi->switch,obs,(02/22/99 00:27:44)
253,3.747312e+04,fddi->local,obs,(02/22/99 00:27:44)
254,2.828283e-01,fddi->corp,obs,(02/22/99 00:27:44)
255,6.957576e+01,switch->fddi,obs,(02/22/99 00:27:44)
256,2.126040e+03,switch->switch,obs,(02/22/99 00:27:44)
257,1.008928e+04,switch->local,obs,(02/22/99 00:27:44)
258,3.287207e+04,switch->corp,obs,(02/22/99 00:27:44)
259,8.044363e+05,local->fddi,obs,(02/22/99 00:27:44)
260,9.000000e+02,local->switch,obs,(02/22/99 00:27:44)
261,4.915825e+00,local->local,obs,(02/22/99 00:27:44)
262,1.494667e+03,local->corp,obs,(02/22/99 00:27:44)
263,5.656566e-01,corp->fddi,obs,(02/22/99 00:27:44)
264,4.381431e+03,corp->switch,obs,(02/22/99 00:27:44)
265,6.188215e+02,corp->local,obs,(02/22/99 00:27:44)
266,0.000000e+00,corp->corp,obs,(02/22/99 00:27:44)
267,3.755288e+04,src fddi,obs,(02/22/99 00:27:44)
268,4.515696e+04,src switch,obs,(02/22/99 00:27:44)
269,8.068359e+05,src local,obs,(02/22/99 00:27:44)
270,5.000818e+03,src corp,obs,(02/22/99 00:27:44)
271,8.045065e+05,dst fddi,obs,(02/22/99 00:27:44)
272,7.486946e+03,dst switch,obs,(02/22/99 00:27:44)
273,4.818613e+04,dst local,obs,(02/22/99 00:27:44)
274,3.436702e+04,dst corp,obs,(02/22/99 00:27:44)
275,8.945465e+05,total,obs,(02/22/99 00:27:44)
301,0.000000e+00,fddi->fddi,obs,(02/22/99 00:32:44)
302,6.263636e+01,fddi->switch,obs,(02/22/99 00:32:44)
303,3.723991e+04,fddi->local,obs,(02/22/99 00:32:44)
304,2.828283e-01,fddi->corp,obs,(02/22/99 00:32:44)
305,5.215152e+01,switch->fddi,obs,(02/22/99 00:32:44)
306,2.762347e+03,switch->switch,obs,(02/22/99 00:32:44)
307,8.427434e+03,switch->local,obs,(02/22/99 00:32:44)
308,3.465662e+04,switch->corp,obs,(02/22/99 00:32:44)
309,5.236975e+05,local->fddi,obs,(02/22/99 00:32:44)
310,9.613603e+02,local->switch,obs,(02/22/99 00:32:44)
311,1.089226e+01,local->local,obs,(02/22/99 00:32:44)
312,1.796495e+03,local->corp,obs,(02/22/99 00:32:44)
313,5.656566e-01,corp->fddi,obs,(02/22/99 00:32:44)
314,4.398889e+03,corp->switch,obs,(02/22/99 00:32:44)
315,3.627104e+02,corp->local,obs,(02/22/99 00:32:44)
316,0.000000e+00,corp->corp,obs,(02/22/99 00:32:44)
317,3.730283e+04,src fddi,obs,(02/22/99 00:32:44)
318,4.589855e+04,src switch,obs,(02/22/99 00:32:44)
319,5.264662e+05,src local,obs,(02/22/99 00:32:44)
320,4.762165e+03,src corp,obs,(02/22/99 00:32:44)
321,5.237502e+05,dst fddi,obs,(02/22/99 00:32:44)
322,8.185232e+03,dst switch,obs,(02/22/99 00:32:44)
323,4.604095e+04,dst local,obs,(02/22/99 00:32:44)
324,3.645340e+04,dst corp,obs,(02/22/99 00:32:44)
325,6.144298e+05,total,obs,(02/22/99 00:32:44)
351,0.000000e+00,fddi->fddi,obs,(02/22/99 00:37:44)
352,7.163636e+01,fddi->switch,obs,(02/22/99 00:37:44)
353,3.452531e+04,fddi->local,obs,(02/22/99 00:37:44)
354,2.828283e-01,fddi->corp,obs,(02/22/99 00:37:44)
355,6.091582e+01,switch->fddi,obs,(02/22/99 00:37:44)
356,2.634397e+03,switch->switch,obs,(02/22/99 00:37:44)
357,8.214973e+03,switch->local,obs,(02/22/99 00:37:44)
358,4.032194e+04,switch->corp,obs,(02/22/99 00:37:44)
359,5.176376e+05,local->fddi,obs,(02/22/99 00:37:44)
360,9.133906e+02,local->switch,obs,(02/22/99 00:37:44)
361,5.185185e+00,local->local,obs,(02/22/99 00:37:44)
362,1.386566e+03,local->corp,obs,(02/22/99 00:37:44)
363,5.656566e-01,corp->fddi,obs,(02/22/99 00:37:44)
364,4.546306e+03,corp->switch,obs,(02/22/99 00:37:44)
365,6.441650e+02,corp->local,obs,(02/22/99 00:37:44)
366,0.000000e+00,corp->corp,obs,(02/22/99 00:37:44)
367,3.459723e+04,src fddi,obs,(02/22/99 00:37:44)
368,5.123223e+04,src switch,obs,(02/22/99 00:37:44)
369,5.199427e+05,src local,obs,(02/22/99 00:37:44)
370,5.191037e+03,src corp,obs,(02/22/99 00:37:44)
371,5.176990e+05,dst fddi,obs,(02/22/99 00:37:44)
372,8.165731e+03,dst switch,obs,(02/22/99 00:37:44)
373,4.338963e+04,dst local,obs,(02/22/99 00:37:44)
374,4.170879e+04,dst corp,obs,(02/22/99 00:37:44)
375,6.109632e+05,total,obs,(02/22/99 00:37:44)
401,0.000000e+00,fddi->fddi,obs,(02/22/99 00:42:43)
402,4.293603e+01,fddi->switch,obs,(02/22/99 00:42:43)
403,3.581432e+04,fddi->local,obs,(02/22/99 00:42:43)
404,2.828283e-01,fddi->corp,obs,(02/22/99 00:42:43)
405,2.878114e+01,switch->fddi,obs,(02/22/99 00:42:43)
406,2.582458e+03,switch->switch,obs,(02/22/99 00:42:43)
407,9.554209e+03,switch->local,obs,(02/22/99 00:42:43)
408,8.409299e+04,switch->corp,obs,(02/22/99 00:42:43)
409,5.142457e+05,local->fddi,obs,(02/22/99 00:42:43)
410,1.050438e+03,local->switch,obs,(02/22/99 00:42:43)
411,1.102694e+01,local->local,obs,(02/22/99 00:42:43)
412,1.256246e+03,local->corp,obs,(02/22/99 00:42:43)
413,5.656566e-01,corp->fddi,obs,(02/22/99 00:42:43)
414,6.750867e+04,corp->switch,obs,(02/22/99 00:42:43)
415,9.509966e+02,corp->local,obs,(02/22/99 00:42:43)
416,0.000000e+00,corp->corp,obs,(02/22/99 00:42:43)
417,3.585754e+04,src fddi,obs,(02/22/99 00:42:43)
418,9.625844e+04,src switch,obs,(02/22/99 00:42:43)
419,5.165634e+05,src local,obs,(02/22/99 00:42:43)
420,6.846024e+04,src corp,obs,(02/22/99 00:42:43)
421,5.142750e+05,dst fddi,obs,(02/22/99 00:42:43)
422,7.118451e+04,dst switch,obs,(02/22/99 00:42:43)
423,4.633055e+04,dst local,obs,(02/22/99 00:42:43)
424,8.534952e+04,dst corp,obs,(02/22/99 00:42:43)
425,7.171396e+05,total,obs,(02/22/99 00:42:43)
451,0.000000e+00,fddi->fddi,obs,(02/22/99 00:47:43)
452,8.904714e+01,fddi->switch,obs,(02/22/99 00:47:43)
453,3.308551e+04,fddi->local,obs,(02/22/99 00:47:43)
454,2.828283e-01,fddi->corp,obs,(02/22/99 00:47:43)
455,7.665657e+01,switch->fddi,obs,(02/22/99 00:47:43)
456,2.516697e+03,switch->switch,obs,(02/22/99 00:47:43)
457,8.329114e+03,switch->local,obs,(02/22/99 00:47:43)
458,5.576668e+04,switch->corp,obs,(02/22/99 00:47:43)
459,5.438107e+05,local->fddi,obs,(02/22/99 00:47:43)
460,1.034724e+03,local->switch,obs,(02/22/99 00:47:43)
461,4.915825e+00,local->local,obs,(02/22/99 00:47:43)
462,1.551192e+03,local->corp,obs,(02/22/99 00:47:43)
463,5.656566e-01,corp->fddi,obs,(02/22/99 00:47:43)
464,5.110037e+03,corp->switch,obs,(02/22/99 00:47:43)
465,1.051138e+03,corp->local,obs,(02/22/99 00:47:43)
466,0.000000e+00,corp->corp,obs,(02/22/99 00:47:43)
467,3.317484e+04,src fddi,obs,(02/22/99 00:47:43)
468,6.668915e+04,src switch,obs,(02/22/99 00:47:43)
469,5.464016e+05,src local,obs,(02/22/99 00:47:43)
470,6.161741e+03,src corp,obs,(02/22/99 00:47:43)
471,5.438879e+05,dst fddi,obs,(02/22/99 00:47:43)
472,8.750505e+03,dst switch,obs,(02/22/99 00:47:43)
473,4.247067e+04,dst local,obs,(02/22/99 00:47:43)
474,5.731816e+04,dst corp,obs,(02/22/99 00:47:43)
475,6.524273e+05,total,obs,(02/22/99 00:47:43)
501,0.000000e+00,fddi->fddi,obs,(02/22/99 00:52:44)
502,4.293603e+01,fddi->switch,obs,(02/22/99 00:52:44)
503,3.448625e+04,fddi->local,obs,(02/22/99 00:52:44)
504,2.828283e-01,fddi->corp,obs,(02/22/99 00:52:44)
505,2.878114e+01,switch->fddi,obs,(02/22/99 00:52:44)
506,2.410525e+03,switch->switch,obs,(02/22/99 00:52:44)
507,7.499976e+03,switch->local,obs,(02/22/99 00:52:44)
508,1.838743e+05,switch->corp,obs,(02/22/99 00:52:44)
509,9.639549e+05,local->fddi,obs,(02/22/99 00:52:44)
510,1.093455e+03,local->switch,obs,(02/22/99 00:52:44)
511,5.185185e+00,local->local,obs,(02/22/99 00:52:44)
512,1.420327e+03,local->corp,obs,(02/22/99 00:52:44)
513,5.656566e-01,corp->fddi,obs,(02/22/99 00:52:44)
514,7.071195e+03,corp->switch,obs,(02/22/99 00:52:44)
515,4.984209e+02,corp->local,obs,(02/22/99 00:52:44)
516,0.000000e+00,corp->corp,obs,(02/22/99 00:52:44)
517,3.452947e+04,src fddi,obs,(02/22/99 00:52:44)
518,1.938135e+05,src switch,obs,(02/22/99 00:52:44)
519,9.664739e+05,src local,obs,(02/22/99 00:52:44)
520,7.570182e+03,src corp,obs,(02/22/99 00:52:44)
521,9.639843e+05,dst fddi,obs,(02/22/99 00:52:44)
522,1.061811e+04,dst switch,obs,(02/22/99 00:52:44)
523,4.248983e+04,dst local,obs,(02/22/99 00:52:44)
524,1.852949e+05,dst corp,obs,(02/22/99 00:52:44)
525,1.202387e+06,total,obs,(02/22/99 00:52:44)
551,0.000000e+00,fddi->fddi,obs,(02/22/99 00:57:44)
552,8.410774e+01,fddi->switch,obs,(02/22/99 00:57:44)
553,3.387948e+04,fddi->local,obs,(02/22/99 00:57:44)
554,2.828283e-01,fddi->corp,obs,(02/22/99 00:57:44)
555,6.992593e+01,switch->fddi,obs,(02/22/99 00:57:44)
556,2.176394e+03,switch->switch,obs,(02/22/99 00:57:44)
557,8.307919e+03,switch->local,obs,(02/22/99 00:57:44)
558,1.798696e+05,switch->corp,obs,(02/22/99 00:57:44)
559,8.705292e+05,local->fddi,obs,(02/22/99 00:57:44)
560,1.198296e+03,local->switch,obs,(02/22/99 00:57:44)
561,6.877778e+01,local->local,obs,(02/22/99 00:57:44)
562,1.734094e+03,local->corp,obs,(02/22/99 00:57:44)
563,5.656566e-01,corp->fddi,obs,(02/22/99 00:57:44)
564,3.783157e+04,corp->switch,obs,(02/22/99 00:57:44)
565,7.829158e+02,corp->local,obs,(02/22/99 00:57:44)
566,0.000000e+00,corp->corp,obs,(02/22/99 00:57:44)
567,3.396387e+04,src fddi,obs,(02/22/99 00:57:44)
568,1.904239e+05,src switch,obs,(02/22/99 00:57:44)
